異動,藥品代號,藥品英文名稱,藥品中文名稱,規格量,規格單位,單複方,參考價,有效起日,有效迄日,製造廠名稱,劑型,成份,ATC_CODE,
,AC23904100,”LIDONIN TABLETS (DICLOFENAC) ””TAI YU”””,”””台裕””屢都寧錠（待克菲那）”,0,,單方,1.5,1040401,9991231,台裕化學製藥廠股份有,錠劑,DICLOFENAC SODIUM,M01AB05,
,AC23913100,WEICOLIN TABLETS (CIMETIDINE) ”W.P.”,胃潰寧錠（希每得定）,0,,單方,1.5,1051201,9991231,華盛頓製藥廠股份有限,錠劑,CIMETIDINE,A02BA01,
,AC23915277,AMOXICILLIN INJECTION 500MG ”KINGDOM”,愛默士黴素乾粉注射劑,500,MG,單方,25,1061201,9991231,意欣國際有限公司,乾粉注射劑,AMOXICILLIN (SODIUM),J01CA04,
,AC23918100,FLUZINE TABLETS 5MG(FLUNARIZINE)”STANDARD”,服腦清錠５公絲（服納利林）,0,,單方,1.51,1120401,9991231,生達化學製藥股份有限,錠劑,FLUNARIZINE (HCL),N07CA03,
,AC239181G0,FLUZINE TABLETS ”STANDARD” (FLUNARIZINE) 5MG(鋁箔/膠箔),”生達”服腦清錠5公絲（服納利林）,0,,單方,2,1010201,9991231,生達化學製藥股份有限,錠劑,FLUNARIZINE (HCL),N07CA03,
,AC23920100,BROPIN F.C. TABLETS (BROMOPRIDE) ”STANDARD”,”生達”必樂胃膜衣錠（溴比得）,0,,單方,1.5,1010101,9991231,生達化學製藥股份有限,膜衣錠,BROMOPRIDE,A03FA04,
,AC239201G0,BROPIN F.C. TABLETS (BROMOPRIDE) ”STANDARD”(鋁箔/膠箔),”生達”必樂胃膜衣錠（溴比得）,0,,單方,2,1010901,9991231,生達化學製藥股份有限,膜衣錠,BROMOPRIDE,A03FA04,
,AC23932100,AZOL TABLETS (ACETAZOLAMIDE) ”NCP”,”新喜”壓作錠（乙醯偶氮胺）,0,,單方,1.5,1060801,9991231,新喜國際企業股份有限,錠劑,ACETAZOLAMIDE,S01EC01,
,AC23936100,BISMUTH SUBCARBONATE TABLETS ”N.C.P.”,必斯錠（次碳酸鉍）,0,,單方,1.5,1060801,9991231,新喜國際企業股份有限,錠劑,BISMUTH SUBCARBONATE,A07BB,
,AC23969100,MERO CAPSULES (KETOPROFEN) ”NCP”,美樂膠囊（可多普洛菲）,0,,單方,1.56,1120401,9991231,新喜國際企業股份有限,膠囊劑,KETOPROFEN,M01AE03,
,AC23996100,PIROXICAM CAPSULES ”S.C.”,”十全”匹洛卡膠囊,0,,單方,1.5,1001201,9991231,十全實業股份有限公司,膠囊劑,PIROXICAM,M01AC01,
,AC23999100,BACIDE CAPSULES (PIPEMIDIC ACID) ”S.C.”,克菌膠囊（匹培咪迪）,0,,單方,2.06,1030701,9991231,十全實業股份有限公司,膠囊劑,PIPEMIDIC ACID (TRIHYDRATE),J01MB04,
,AC24014221,TRANSACID INJECTION  (TRANEXAMIC ACID),妥血止注射液（妥內散敏）,5,ML,單方,15,1011101,9991231,瑞士藥廠股份有限公司,注射劑,TRANEXAMIC ACID,B02AA02,
,AC24014229,TRANSACID INJECTION (TRANEXAMIC ACID),妥血止注射液（妥內散敏）,10,ML,單方,15,1030801,9991231,瑞士藥廠股份有限公司,注射劑,TRANEXAMIC ACID,B02AA02,
,AC24014238,TRANSACID INJECTION (TRANEXAMIC ACID),妥血止注射液（妥內散敏）,20,ML,單方,33,1110101,9991231,瑞士藥廠股份有限公司,注射劑,TRANEXAMIC ACID,B02AA02,
,AC24017100,CIMEDIN TABLETS 200MG (CIMETIDINE) ”TBC”,”信東”欣胃定錠200毫克,0,,單方,1.5,1040201,9991231,信東生技股份有限公司,錠劑,CIMETIDINE,A02BA01,
,AC24018100,NIFEPIN CAPSULES (NIFEDIPINE) ”ROYAL”,保心律膠囊（尼非待平）,0,,單方,1.81,1091001,9991231,皇佳化學製藥股份有限,膠囊劑,NIFEDIPINE,C08CA05,
,AC240181G0,NIFEPIN CAPSULES (NIFEDIPINE) ”ROYAL”(鋁箔/膠箔),保心律膠囊（尼非待平）,0,,單方,2,1081001,9991231,皇佳化學製藥股份有限,膠囊劑,NIFEDIPINE,C08CA05,
,AC24020100,POUDERCAM CAPSULES ”H.S.”,”華興”保得康膠囊（匹洛卡）,0,,單方,1.5,1091001,9991231,華興化學製藥廠股份有,膠囊劑,PIROXICAM,M01AC01,
,AC24023100,ANJAL TABLETS ”YU SHENG”,”優生”安壓錠,0,,複方,1.5,1030201,9991231,優生製藥廠股份有限公,錠劑,HYDROCHLOROTHIAZIDE+TRIAMTERENE,C03EA01,
,AC24029263,MORIAMIN-SN INJECTION,蒙利安命賜源注射液,200,ML,複方,134,1120401,9991231,中國化學製藥股份有限,注射劑,ALANINE L-+ARGININE L-+ASPARTIC ACID L-+CYSTEINE L-+GLUTAMIC ACID L-+HISTIDINE L-,B05BA01,
,AC24029277,MORIAMIN-SN INJECTION,”中國化學”蒙利安命賜源注射液,500,ML,複方,209,1050401,9991231,中國化學製藥股份有限,注射劑,ALANINE L-+ARGININE L-+ASPARTIC ACID L-+CYSTEINE L-+GLUTAMIC ACID L-+HISTIDINE L-,B05BA01,
,AC24040209,KONSUL INJECTION ”LITA” (PRIDINOL),”利達”康舒注射液（匹力的諾）,1,ML,單方,15,1030801,9991231,利達製藥股份有限公司,注射劑,PRIDINOL METHANESULFONATE,M03BX03,
,AC24053100,BLOODFULL S.C. TABLETS ”C.H.”,”正和”益血康糖衣錠,0,,複方,1.5,1021201,9991231,正和製藥股份有限公司,糖衣錠,CYANOCOBALAMIN (=VIT B12)+FERROUS FUMARATE+FOLIC ACID+NIACINAMIDE (=NICOTINAMIDE)+RIBOFLAVIN (=VIT B2)+THIAMINE MONONITRATE,B03AE02,
,AC240531G0,BLOODFULL S.C. TABLETS ”C.H.”(60粒/瓶裝),”正和”益血康糖衣錠,0,,複方,2,1050801,9991231,正和製藥股份有限公司,糖衣錠,CYANOCOBALAMIN (=VIT B12)+FERROUS FUMARATE+FOLIC ACID+NIACINAMIDE (=NICOTINAMIDE)+RIBOFLAVIN (=VIT B2)+THIAMINE MONONITRATE,B03AE02,
,AC24073212,CIMEDIN INJECTION (CIMETIDINE) ”S.T.”,欣胃定注射液（希每得定）,2,ML,單方,15,1030201,9991231,信東生技股份有限公司,注射劑,CIMETIDINE,A02BA01,
,AC24076100,PRANOL F.C. TABLETS (PROPRANOLOL),律心平膜衣錠（普潘奈）,0,,單方,1.5,1031201,9991231,元宙化學製藥股份有限,膜衣錠,PROPRANOLOL HCL,C07AA05,
,AC24077100,CIMEWET TABLETS (CIMETIDINE) ”N.C.P.”,”新喜”喜美胃錠（希每得定）,0,,單方,1.5,1060801,9991231,新喜國際企業股份有限,錠劑,CIMETIDINE,A02BA01,
,AC240771G0,CIMEWET TABLETS (CIMETIDINE) ”N.C.P.”(鋁箔/膠箔),”新喜”喜美胃錠（希每得定）,0,,單方,2,1080601,9991231,新喜國際企業股份有限,錠劑,CIMETIDINE,A02BA01,
,AC24085100,”WEIBAMYCIN CAPSULES ””TAI YU”” (DOXYCYCLINE)”,”””台裕””為他黴素膠囊（去氧羥四環素）”,0,,單方,1.5,1040401,9991231,台裕化學製藥廠股份有,膠囊劑,DOXYCYCLINE (HCL),J01AA02,
,AC24103100,TONTARIN F.C. TABLETS (DICLOFENAC),痛達寧膜衣錠（待克菲那）,0,,單方,1.5,1051001,9991231,信隆藥品工業股份有限,膜衣錠,DICLOFENAC SODIUM,M01AB05,
,AC24104100,HERSUN TABLETS 40MG (PROPRANOLOL HYDROCHLORIDE)”F.Y.”,”福元”心爽錠４０毫克,0,,單方,1.5,1040601,9991231,福元化學製藥股份有限,錠劑,PROPRANOLOL HCL,C07AA05,
,AC24113209,”DEXTROSE AND SODIUM CHLORIDE INJECTION 5%/0.9% ””Y.F.”””,” ””永豐””葡萄糖食鹽水注射液5%/0.9%”,1,L (LIT,複方,35,1060401,9991231,永豐化學工業股份有限,注射劑,SODIUM CHLORIDE,B05BB02,
,AC24113277,”DEXTROSE AND SODIUM CHLORIDE INJECTION 5%/0.9% ””Y.F.”””,” ””永豐””葡萄糖食鹽水注射液5%/0.9%”,500,ML,複方,25,1040101,9991231,永豐化學工業股份有限,注射劑,SODIUM CHLORIDE,B05BB02,
,AC24115100,DICLOFENAC E.C. TABLETS ”Y.S.”,”陽生”克痛炎腸溶錠（待克菲那）,0,,單方,1.5,1050201,9991231,臺灣陽生製藥工業股份,腸溶錠,DICLOFENAC SODIUM,M01AB05,
,AC24127100,DICLOFEN TABLETS (DICLOFENAC),正炎錠（待克菲那）,0,,單方,1.5,1031201,9991231,元宙化學製藥股份有限,錠劑,DICLOFENAC SODIUM,M01AB05,
,AC24132100,AMOXICILLIN CAPSULES 500MG,”中國化學” 安蒙西林膠囊500毫克,0,,單方,1.5,1001201,9991231,中國化學製藥股份有限,膠囊劑,AMOXYCILLIN (TRIHYDRATE),J01CA04,
,AC241321G0,AMOXICILLIN CAPSULES 500MG.(鋁箔/膠箔),”中國化學” 安蒙西林膠囊500毫克,0,,單方,2,1001201,9991231,中國化學製藥股份有限,膠囊劑,AMOXYCILLIN (TRIHYDRATE),J01CA04,
,AC24175100,REAZONE TABLETS,肌舒痛錠,0,,複方,1.5,1040201,9991231,元宙化學製藥股份有限,錠劑,CHLORZOXAZONE+ETHENZAMIDE (=ETHOXYBENZAMIDE),M03BB53,
,AC24196100,PIPEMID TABLETS 250MG ”Y.C.”(PIPEMIDIC ACID),”元宙”比利炎錠250毫克（匹培咪迪）,0,,單方,3.38,1120401,9991231,元宙化學製藥股份有限,錠劑,PIPEMIDIC ACID,J01MB04,
,AC24198212,AMIKACIN INJECTION 125MG/ML ”N.K.”,”南光”愛康黴素注射液１２５公絲／公撮（艾米克信）,2,ML,單方,28.8,1120401,9991231,南光化學製藥股份有限,注射劑,AMIKACIN (SULFATE),J01GB06,
,AC24199100,NAROXIN TABLETS 250mg ”H.L.”,”華琳”拿樂信錠250毫克。,0,,單方,1.5,1031201,9991231,華琳實業有限公司,錠劑,NAPROXEN,M01AE02,
,AC24203216,ACETYLCYSTEINE INJECTION 100MG/ML ”LITA”,”利達”舒痰注射液１００公絲／公撮（乙基希賜典）,3,ML,單方,15,1030801,9991231,利達製藥股份有限公司,注射劑,ACETYLCYSTEINE,R05CB01,
,AC24212238,0.45% SODIUM CHLORIDE INJECTION,氯化鈉注射液０．４５％,20,ML,單方,15,1030201,9991231,信東生技股份有限公司,注射劑,SODIUM CHLORIDE,B05XA03,
,AC24212277,SODIUM CHLORIDE INJECTION 0.45% ”S.T.”,氯化鈉注射液０．４５％,500,ML,單方,25,1030201,9991231,信東生技股份有限公司,注射劑,SODIUM CHLORIDE,B05XA03,
,AC242122D9,SODIUM CHLORIDE INJECTION 0.45% ”S.T.” (塑膠軟袋裝),氯化鈉注射液０．４５％,2.76,L (LIT,單方,85,1040201,9991231,信東生技股份有限公司,注射劑,SODIUM CHLORIDE,B05XA03,
,AC24229100,PRIMRAM S.C. TABLETS (METOCLOPRAMIDE) ”C.H.”,”正和”保胃朗糖衣錠（美托拉麥）,0,,單方,1.5,1030801,9991231,正和製藥股份有限公司,糖衣錠,METOCLOPRAMIDE HCL,A03FA01,
,AC24236100,CARBETAN F.C. TABLETS 30MG ”CHINTENG”,”井田” 咳必坦膜衣錠３０毫克（咳貝坦）,0,,單方,1.5,1070201,9991231,井田國際醫藥廠股份有,膜衣錠,CARBETAPENTANE CITRATE,R05DB05,
,AC242361G0,CARBETAN F.C. TABLETS 30MG ”CHINTENG”(鋁箔/膠箔),”井田” 咳必坦膜衣錠３０毫克（咳貝坦）,0,,單方,2,1070601,9991231,井田國際醫藥廠股份有,膜衣錠,CARBETAPENTANE CITRATE,R05DB05,
,AC24251100,LITAZIN CAPSULES (PIPEMIDIC ACID) ”LITA”,利得淨膠囊（匹培咪迪）,0,,單方,2.06,1041201,9991231,利達製藥股份有限公司,膠囊劑,PIPEMIDIC ACID (TRIHYDRATE),J01MB04,
,AC24258277,Taita No.4 Injection ”Otsuka”,”大塚”台大四號注射液,500,ML,複方,34.6,1120401,9991231,臺灣大塚製藥股份有限,注射劑,DEXTROSE ANHYDROUS+POTASSIUM ACETATE+POTASSIUM PHOSPHATE MONOBASIC(=POTASSIUM BIPHOSPHATE)+SODIUM ACETATE+SODIUM CHLORIDE,B05BB02,
,AC24266100,DIYUN TABLETS (DIPHENIDOL) ”S.T.”,敵暈錠（敵芬尼朵）,0,,單方,1.5,1041201,9991231,世達藥品工業股份有限,錠劑,DIPHENIDOL HCL,N07CA,
,AC24269100,BUSKOBUN S.C. TABLETS C.H.” (HYOSCINE BUTYLBROMIDE) ”,”正和”博舒痙糖衣錠（東莨菪　）,0,,單方,1.5,1030201,9991231,正和製藥股份有限公司,糖衣錠,BUTYLSCOPOLAMINE BROMIDE (=HYOSCINE BUTYLBROMIDE),A03BB01,
,AC24270100,PISON CAPSULES ”C.H.”,”正和”鼻爽膠囊,0,,複方,1.57,1120401,9991231,正和製藥股份有限公司,膠囊劑,CARBINOXAMINE MALEATE+DEXTROMETHORPHAN HBR+PHENYLEPHRINE HCL,R05X,
,AC24272100,ERGO-M S.C. TABLETS ”C.H.”(ERGOMETRINE MALEATE),”正和”益兒宮糖衣錠（縮蘋果酸麥角新鹼）,0,,單方,1.5,1031001,9991231,正和製藥股份有限公司,糖衣錠,ERGONOVINE MALEATE,G02AB03,
,AC24277100,SULYANG CAPSUES (SULPIRIDE) ”S.T.”,”世達”舒爾瘍膠囊50毫克（斯而比來特）,0,,單方,1.52,1120401,9991231,世達藥品工業股份有限,膠囊劑,SULPIRIDE,N05AL01,
,AC24282100,TREN CAPSULES 250MG (TRANEXAMIC ACID) ”YUNG SHIN”,特朗膠囊２５０公絲（妥內散敏）,0,,單方,1.5,1060401,9991231,永信藥品工業股份有限,膠囊劑,TRANEXAMIC ACID,B02AA02,
,AC24310100,RESERZIDE S.C. TABLETS,律壓平糖衣錠,0,,複方,1.5,1031201,9991231,元宙化學製藥股份有限,糖衣錠,HYDRALAZINE HCL+HYDROCHLOROTHIAZIDE+RESERPINE,C02LA51,
,AC243101G0,RESERZIDE S.C. TABLETS(鋁箔/膠箔),”元宙”律壓平糖衣錠 (鋁箔/膠箔),0,,複方,2,1031201,9991231,元宙化學製藥股份有限,糖衣錠,HYDRALAZINE HCL+HYDROCHLOROTHIAZIDE+RESERPINE,C02LA51,
,AC24318100,LORAZEPAM TABLETS 2MG ”LITA”,”利達”樂得靜錠2毫克(樂耐平),0,,單方,1.5,1100501,9991231,利達製藥股份有限公司,錠劑,LORAZEPAM,N05BA06,
,AC243181G0,LORAZEPAM TABLETS 2MG ”LITA”,”利達”樂得靜錠2毫克(樂耐平),0,,單方,2,1100501,9991231,利達製藥股份有限公司,錠劑,LORAZEPAM,N05BA06,
,AC24319221,TREN INJECTION 100MG (TRANEXAMIC ACID) ”YUNG SHIN”,特朗注射液１００公絲（妥內散敏）,5,ML,單方,15,1001201,9991231,永信藥品工業股份有限,注射劑,TRANEXAMIC ACID,B02AA02,
,AC24329100,LIROCAM CAPSULE (PIROXICAM) ”LITA”,利樂康膠囊（匹洛卡）,0,,單方,1.5,1041201,9991231,利達製藥股份有限公司,膠囊劑,PIROXICAM,M01AC01,
,AC24330100,PIROCAM CAPSULES ”J.L.”,”嘉林” 彼樂康膠囊,0,,單方,1.5,1051201,9991231,嘉林藥品有限公司,膠囊劑,PIROXICAM,M01AC01,
,AC24335100,SALBUTAMO TABLETS 4MG (SALBUTAMOL),沙必達莫錠４公絲（沙布坦）,0,,單方,1.5,1050601,9991231,臺灣陽生製藥工業股份,錠劑,SALBUTAMOL (SULFATE),R03CC02,
,AC24350100,RELCON CAPSULES 250MG ”YUNG CHI”,利爾康膠囊２５０公絲（妥內散敏）,0,,單方,1.5,1061001,9991231,永吉製藥股份有限公司,膠囊劑,TRANEXAMIC ACID,B02AA02,
,AC24362100,BI AUI AN LINN TABLETS ”NCP”,”新喜”必治炎錠,0,,複方,1.5,1060801,9991231,新喜國際企業股份有限,錠劑,SULFAMETHOXAZOLE+TRIMETHOPRIM,J01EE01,
,AC24369100,FELVITEN S.C. TABLETS ”C.H.”                                                             (ANETHOLE),”正和”惠爾田糖衣錠（安奈妥）,0,,單方,1.5,1030201,9991231,正和製藥股份有限公司,糖衣錠,ANETHOLE TRITHIONE,A16AX02,
,AC24374100,THIAMPHENICOL CAPSULES 250MG ”C.L.”,”嘉林”喜安福克膠囊２５０毫克,0,,單方,1.51,1090801,9991231,嘉林藥品有限公司,膠囊劑,THIAMPHENICOL,J01BA02,
,AC243741G0,THIAMPHENICOL CAPSULES 250MG ”C.L.”(鋁箔/膠箔),”嘉林”喜安福克膠囊２５０毫克,0,,單方,2,1090801,9991231,嘉林藥品有限公司,膠囊劑,THIAMPHENICOL,J01BA02,
,AC24375100,GRISEOFULVIN TABLETS 250MG,灰黴素錠２５０毫克,0,,單方,1.65,1031201,9991231,元宙化學製藥股份有限,錠劑,GRISEOFULVIN,D01BA01,
,AC243751G0,GRISEOFULVIN TABLETS 250MG(鋁箔/膠箔),”元宙”灰黴素錠２５０毫克,0,,單方,2,1080801,9991231,元宙化學製藥股份有限,錠劑,GRISEOFULVIN,D01BA01,
,AC24385100,LOPERAMIDE CAPSULES,”明德”樂普麥膠囊（樂必寧）,0,,單方,1.5,1040601,9991231,明德製藥股份有限公司,膠囊劑,LOPERAMIDE HCL,A07DA03,
,AC24431100,PAOWEIAN TABLETS 200MG ”C.H.” (CIMETIDINE ),”正和”保胃安錠２００公絲（希美得錠）,0,,單方,1.5,1030201,9991231,正和製藥股份有限公司,錠劑,CIMETIDINE,A02BA01,
,AC24440100,IKODIN CAPSULES 500MG (CEPHALEXIN),伊克定膠囊５００公絲（賜福力欣）,0,,單方,1.78,1070501,9991231,瑞士藥廠股份有限公司,膠囊劑,CEPHALEXIN (MONOHYDRATE),J01DB01,
,AC244401G0,IKODIN CAPSULES 500MG (CEPHALEXIN)(鋁箔/膠箔),伊克定膠囊５００公絲（賜福力欣）,0,,單方,2,1050801,9991231,瑞士藥廠股份有限公司,膠囊劑,CEPHALEXIN (MONOHYDRATE),J01DB01,
,AC24441100,CODEM CAPSULES ”C.H.”,咳鎮膠囊,0,,複方,1.5,1031001,9991231,正和製藥股份有限公司,膠囊劑,CAFFEINE ANHYDROUS+CHLORPHENIRAMINE MALEATE+CODEINE PHOSPHATE+METHYLEPHEDRINE DL- HCL,R05DA,
,AC24463100,ANXIEDIN TABLETS 0.5MG (LORAZEPAM),”優良” 安靜錠0.5毫克（樂耐平）,0,,單方,1.5,1031201,9991231,優良化學製藥股份有限,錠劑,LORAZEPAM,N05BA06,
,AC244631G0,ANXIEDIN TABLETS 0.5MG (LORAZEPAM)(鋁箔/膠箔),”優良” 安靜錠0.5毫克（樂耐平）,0,,單方,2,1031201,9991231,優良化學製藥股份有限,錠劑,LORAZEPAM,N05BA06,
,AC24474100,LIDIN TABLETS 300MG (LITHIUM CARBONATE),”優良”立定錠３００毫克（碳酸鋰）,0,,單方,4.33,1120401,9991231,優良化學製藥股份有限,錠劑,LITHIUM CARBONATE,N05AN01,
,AC24488100,PROAZINE TABLETS (PROCHLORPERAZINE MALEATE),頗安靜錠（縮蘋酸普氯苯井）,0,,單方,1.5,1031201,9991231,衛肯生技製藥股份有限,錠劑,PROCHLORPERAZINE ((DI)MALEATE),N05AB04,
,AC244881G0,PROAZINE TABLETS (PROCHLORPERAZINE MALEATE)(鋁箔/膠箔),頗安靜錠（縮蘋酸普氯苯井）,0,,單方,2,1081201,9991231,衛肯生技製藥股份有限,錠劑,PROCHLORPERAZINE (MALEATE),N05AB04,
,AC24490100,PIPERAN CAPSULES (PIPEMIDIC ACID )”YU SHENG”,平利腎膠囊（匹培咪迪）,0,,單方,3.38,1120401,9991231,優生製藥廠股份有限公,膠囊劑,PIPEMIDIC ACID (TRIHYDRATE),J01MB04,
,AC24493100,TEANLANG TABLETS 0.75MG,得安朗錠0.75毫克,0,,單方,1.5,1031201,9991231,天下藥品股份有限公司,錠劑,DEXAMETHASONE,H02AB02,
,AC24494100,LISOME TABLETS 30MG ”HONTEN” (LYSOZYME),”豐田”力多美錠３０公絲（來縮酵素）,0,,單方,1.5,1021201,9991231,豐田藥品股份有限公司,錠劑,LYSOZYME (CHLORIDE),V03AX,
,AC24509100,FLURAZINE F.C. TABLETS 5MG ”VPP” (TRIFLUOPERAZINE),”榮民”福樂生膜衣錠５公絲（鹽酸三氟陪拉辛）,0,,單方,1.5,1030801,9991231,榮民製藥股份有限公司,膜衣錠,TRIFLUOPERAZINE (2HCL),N05AB06,
,AC24516210,”SODIUM CHLORIDE INJECTION 0.9% ””TAI YU”””,”””台裕””氯化鈉點滴注射液”,1.5,L (LIT,單方,40.9,1110101,9991231,台裕化學製藥廠股份有,注射劑,SODIUM CHLORIDE,B05XA03,
,AC24516212,”SODIUM CHLORIDE INJECTION 0.9% ””TAI YU”””,”””台裕””氯化鈉點滴注射液”,2,L (LIT,單方,72,1040401,9991231,台裕化學製藥廠股份有,注射劑,SODIUM CHLORIDE,B05XA03,
,AC24516216,”SODIUM CHLORIDE INJECTION 0.9% ””TAI YU”””,”””台裕””氯化鈉點滴注射液”,3,L (LIT,單方,86,1040401,9991231,台裕化學製藥廠股份有,注射劑,SODIUM CHLORIDE,B05XA03,
,AC24516248,”SODIUM CHLORIDE INJECTION 0.9% ””TAI YU”””,”””台裕””氯化鈉點滴注射液”,50,ML,單方,15,1040401,9991231,台裕化學製藥廠股份有,注射劑,SODIUM CHLORIDE,B05XA03,
,AC24536100,PROPRANOLOL HYDROCHLORIDE  TABLETS ”C.H.”,”正和”服樂壓錠（鹽酸普潘奈）,0,,單方,1.5,1030701,9991231,正和製藥股份有限公司,錠劑,PROPRANOLOL HCL,C07AA05,
,AC24571321,EPARCORT CREAM,益皮康乳膏,5,GM,複方,10.3,1120601,9991231,臺灣汎生製藥廠股份有,乳膏劑,ECONAZOLE NITRATE+TRIAMCINOLONE ACETONIDE,D01AC20,
,AC24571329,EPARCORT CREAM,益皮康乳膏,10,GM,複方,18.2,1120601,9991231,臺灣汎生製藥廠股份有,乳膏劑,ECONAZOLE NITRATE+TRIAMCINOLONE ACETONIDE,D01AC20,
,AC24571338,EPARCORT CREAM,益皮康乳膏,20,GM,複方,32.6,1120601,9991231,臺灣汎生製藥廠股份有,乳膏劑,ECONAZOLE NITRATE+TRIAMCINOLONE ACETONIDE,D01AC20,
,AC24588100,SALUPEN TABLETS ”Y.K.”,”約克” 喘能平錠,0,,單方,1.5,1110101,9991231,約克製藥股份有限公司,錠劑,METAPROTERENOL SULFATE(=ORCIPRENALINE SULFATE),R03CB03,
,AC24592100,SULMIN TABLETS,速敏錠,0,,單方,1.5,1040201,9991231,壽元化學工業股份有限,錠劑,SULFAMETHOXAZOLE,J01EC01,
,AC24597100,ALLERCON TABLETS,過敏控錠,0,,單方,1.5,1040201,9991231,壽元化學工業股份有限,錠劑,PIPRINHYDRINATE,R06AA07,
,AC24615100,PICOL F.C. TABLETS (PIPEMIDIC ACID) ”ROYAL”,保康膜衣錠（匹培咪迪）,0,,單方,3.38,1120801,9991231,皇佳化學製藥股份有限,膜衣錠,PIPEMIDIC ACID (TRIHYDRATE),J01MB04,
,AC24667265,RINGER INJECTION,林格爾注射液,250,ML,複方,22,1030201,9991231,信東生技股份有限公司,注射劑,CALCIUM CHLORIDE DIHYDRATE+POTASSIUM CHLORIDE+SODIUM CHLORIDE,B05BB01,
,AC24667277,RINGER INJECTION,林格爾注射液,500,ML,複方,25,1030201,9991231,信東生技股份有限公司,注射劑,CALCIUM CHLORIDE DIHYDRATE+POTASSIUM CHLORIDE+SODIUM CHLORIDE,B05BB01,
,AC24696216,”DICLOFENAC INJECTION 25MG ””TAI YU”””,”””台裕””迪可露芬娜克注射液25毫克/毫升（待克菲那）”,3,ML,單方,15,1040401,9991231,台裕化學製藥廠股份有,注射劑,DICLOFENAC SODIUM,M01AB05,
,AC24703100,”SULPI CAPSULES 50MG (SULPIRIDE) ””WINSTON”””,速必膠囊50公絲,0,,單方,1.52,1120401,9991231,溫士頓醫藥股份有限公,膠囊劑,SULPIRIDE,N05AL01,
,AC247031G0,SULPI CAPSULES 50MG (SULPIRIDE) ”WINSTON”(鋁箔/膠箔),”溫士頓”速必膠囊50毫克(斯而比來特),0,,單方,2,1041201,9991231,溫士頓醫藥股份有限公,膠囊劑,SULPIRIDE,N05AL01,
,AC247061G0,SUPIAN TABLETS ”F.B” (鋁箔/膠箔),”富邦”舒必安錠,0,,單方,2,1060201,9991231,富邦藥品有限公司,錠劑,PSEUDOEPHEDRINE HCL,R01BA02,
,AC24708100,SORIN TABLETS 200MG ”YUNG SHIN” (CHLORZOXAZONE),”永信”舒力錠２００毫克（氯若沙宗）,0,,單方,1.5,1031001,9991231,永信藥品工業股份有限,錠劑,CHLORZOXAZONE,M03BB03,
,AC247081G0,SORIN TABLETS 200MG ”YUNG SHIN” (CHLORZOXAZONE)(鋁箔/膠箔),”永信”舒力錠200毫克（氯若沙宗）(鋁箔/膠箔),0,,單方,2,1031001,9991231,永信藥品工業股份有限,錠劑,CHLORZOXAZONE,M03BB03,
,AC24726100,PARAS TABLETS ”YUNG SHIN”,”永信”伯士錠,0,,複方,1.5,1001201,9991231,永信藥品工業股份有限,錠劑,ACETAMINOPHEN (=PARACETAMOL)+CHLORZOXAZONE,M03BB53,
,AC24730500,FUCODINE VAGINAL TABLETS 100MG ”Y.K.”,”約克”婦可淨膣錠１００毫克,0,,單方,5.6,1120401,9991231,約克製藥股份有限公司,陰道錠,CLOTRIMAZOLE,G01AF02,
,AC24740100,”LYSOZYME TABLETS 100MG ””M.T.”””,消炎酵素錠１００公絲,0,,單方,1.5,1040401,9991231,明大化學製藥股份有限,錠劑,LYSOZYME (CHLORIDE),V03AX,
,AC24742100,MILISHER TABLETS 100MG ”H.S.” (LYSOZYME),”華興”邁立酵錠100毫克(來縮酵素),0,,單方,1.5,1010401,9991231,華興化學製藥廠股份有,錠劑,LYSOZYME (CHLORIDE),V03AX,
,AC24750212,CIMETIDINE INJECTION 100MG ”ORIENTAL”,治潰寧注射１００公絲（希每得定）,2,ML,單方,15,1060201,9991231,東洲化學製藥廠股份有,注射劑,CIMETIDINE,A02BA01,
,AC24751221,POTASSIUM CHLORIDE INJECTION 15% ”KINGDOM”,”景德”氯化鉀注射液１５％,5,ML,單方,15,1010201,9991231,健喬信元醫藥生技股份,注射劑,POTASSIUM CHLORIDE,B05XA01,
,AC24754100,ZECOLIN TABLETS 250MG,”元宙”欣可止錠２５０公絲（妥內散敏）,0,,單方,1.5,1060401,9991231,元宙化學製藥股份有限,錠劑,TRANEXAMIC ACID,B02AA02,
,AC24756277,”DEXTROSE INJECTION 10% ””TAI YU”””,”””台裕””右旋糖點滴注射液10%”,500,ML,單方,25,1040401,9991231,台裕化學製藥廠股份有,注射劑,DEXTROSE,B05BA03,
,AC24757100,SUITONE F.C. TABLETS 500MG ”Y.K.”,”約克”疏痛膜衣錠500毫克,0,,單方,1.5,1091201,9991231,約克製藥股份有限公司,膜衣錠,MEFENAMIC ACID,M01AG01,
,AC247571G0,SUITONE F.C. TABLETS 500MG ”Y.K.”(鋁箔/膠箔),”約克”疏痛膜衣錠500毫克,0,,單方,2,1091201,9991231,約克製藥股份有限公司,膜衣錠,MEFENAMIC ACID,M01AG01,
,AC24758100,LYSOZYME TABLETS 90MG ”SPC”,”信隆”來縮酵素錠９０毫克,0,,單方,1.5,1050801,9991231,信隆藥品工業股份有限,錠劑,LYSOZYME (CHLORIDE),V03AX,
